MJ Hoggard,45,ENG,93,,280,,,,,,
RJ Shastri,61,IND,230,,280,,,,,,
IR Bishop,55,WI,127,,279,,,,,,
Abdur Razzak,39,BAN,200,,279,,,,,,
Danish Kaneria,43,PAK,79,,276,,,,,,
BS Bedi,77,IND,77,,273,,,,,,
L Klusener,51,SA,220,,272,,,,,,
Mohammad Amir,31,PAK,159,,271,,,,,,
VD Philander,36,SA,101,,269,,,,,,
Taijul Islam,29,BAN,77,,269,,,,,,
GF Lawson,63,AUS,125,,268,,,,,,
Yasir Shah,36,PAK,75,,268,,,,,,
IS Sodhi,30,NZ,199,,266,,,,,,
EJ Chatfield,62,NZ,157,,263,,,,,,
M Dillon,46,WI,146,,261,,,,,,
N Wagner,37,NZ,64,,260,,,,,,
CH Gayle,43,WI,483,,260,,,,,,
SE Bond,43,NZ,120,,259,,,,,,
TM Alderman,62,AUS,106,,258,,,,,,
CS Martin,50,NZ,97,,258,,,,,,
JR Thomson,61,AUS,101,,255,,,,,,
PAJ DeFreitas,56,ENG,147,,255,,,,,,
ST Finn,37,ENG,126,,254,,,,,,
MA Wood,33,ENG,145,,253,,,,,,
M Prabhakar,59,IND,169,,253,,,,,,
Mohammad Hafeez,43,PAK,392,,253,,,,,,
JB Statham,72,ENG,70,,252,,,,,,
JDP Oram,44,NZ,229,,252,,,,,,
MG Hughes,58,AUS,86,,250,,,,,,
